TopicKeyword,[0, 1, 2, 3, 4]
																																																																																								energy,0.006,0.003,0.003,0.004,0.003
emission,0.003,,,,
market,0.003,,,,
increase,0.003,,,,
consumption,0.002,,,,
production,0.002,,,0.002,
policy,0.002,,,,
diversificate,0.002,,,,
policies,0.002,,,,
outlining,0.002,,,,
emissions,,0.004,,,0.004
carbon,,0.003,,,
electricity,,0.002,,,
states,,0.002,,,
geologic,,0.002,,,
tianjin,,0.002,,,
loads,,0.002,,,
durban,,0.002,,,
explained,,0.002,,,
solve,,,0.003,,
development,,,0.003,,
countries,,,0.002,,
confirmation,,,0.002,,
term,,,0.002,,
decline,,,0.002,,
change,,,0.002,,
elasticity,,,0.002,,
research,,,0.002,,
fifty,,,,0.002,
longer,,,,0.002,
strømman,,,,0.002,
gaining,,,,0.002,
solves,,,,0.002,
signs,,,,0.002,
government,,,,0.002,
link,,,,0.002,
depict,,,,,0.002
declining,,,,,0.002
fuel,,,,,0.002
ltd,,,,,0.002
adherents,,,,,0.002
sector,,,,,0.002
movement,,,,,0.002
labor,,,,,0.002
