TopicKeyword,[0, 1, 2, 3, 4]
																																		robot,0.023,0.023,0.022,0.019,0.021
system,0.019,0.014,0.015,0.015,0.016
control,0.017,0.012,0.015,0.011,0.015
architecture,0.017,0.016,0.016,0.016,0.016
robots,0.01,0.009,0.009,0.008,0.009
systems,0.007,0.006,0.007,0.006,0.006
mobile,0.006,,0.005,,0.005
design,0.006,,0.006,,0.006
robotic,0.005,,0.005,,
software,0.005,,,,
human,,0.008,0.005,,
model,,0.007,,0.006,0.005
learning,,0.007,,0.005,
environment,,0.005,,,
real,,,,0.006,
data,,,,0.005,
used,,,,,0.005
