TopicKeyword,[0, 1, 2, 3, 4]
																																																																																		control,0.024,0.017,,,0.022
controller,0.022,,,,
functional,0.012,,,,
performance,0.01,,,,
non,0.01,,,,
architecture,0.01,,0.01,,0.014
modular,0.01,,,,
dynamics,0.01,,,,
system,0.01,0.011,,,0.012
architectures,0.008,,,,
model,,0.014,,,0.01
robot,,0.012,,,
cerebellar,,0.012,,,
robotic,,0.011,,,
different,,0.009,,,
learning,,0.009,,,0.014
neural,,0.009,0.015,,
error,,0.008,,,
features,,,0.026,,
protein,,,0.012,,
network,,,0.01,,
arm,,,0.01,,
gates,,,0.01,,
proteins,,,0.01,,
classification,,,0.01,,
activity,,,0.008,,
null,,,,0.742,
appears,,,,0.003,
positive,,,,0.003,
affect,,,,0.003,
emotions,,,,0.003,
viewed,,,,0.001,
cognitive,,,,0.001,
understood,,,,0.001,
aspect,,,,0.001,
animal,,,,0.001,
order,,,,,0.01
mosaic,,,,,0.008
self,,,,,0.007
models,,,,,0.007
strategies,,,,,0.007
